epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6596,2.38011,3.65236,2.21899,0.15547,0.08908,0.04139,0.01005,3.01565,4.72684,2.99368,0.0001,0.0001,0.0001
2,46.7275,2.15018,4.23641,2.03585,0.00214,0.34672,0.00161,0.0006,1.76762,12.8027,1.93231,0.000219782,0.000219782,0.000219782
3,53.7155,1.49181,3.01675,1.68344,0.44938,0.31965,0.25643,0.136,2.02168,5.8335,2.23777,0.000339327,0.000339327,0.000339327
4,60.9618,1.41248,2.00318,1.58573,0.01867,0.63144,0.01878,0.00868,1.71228,inf,3.15949,0.000458634,0.000458634,0.000458634
5,67.6498,1.26952,1.44824,1.50072,0.01681,0.43057,0.0135,0.00688,1.94874,inf,4.99779,0.000577703,0.000577703,0.000577703
6,74.2665,1.35063,1.28819,1.49108,0.01665,0.34585,0.00984,0.00356,2.61813,inf,12.2568,0.000696535,0.000696535,0.000696535
7,81.67,1.25642,1.12111,1.48255,0.03809,0.24891,0.02503,0.00791,2.52474,16.9138,3.02461,0.000815129,0.000815129,0.000815129
8,87.9884,1.255,1.0605,1.46824,0.30556,0.17293,0.13979,0.05579,2.09175,18.809,3.56308,0.000933486,0.000933486,0.000933486
9,94.5092,1.29972,1.09289,1.48367,0.07036,0.29345,0.0403,0.01088,2.64084,35.0693,6.43622,0.0010516,0.0010516,0.0010516
10,100.929,1.28099,1.0459,1.4674,0.05616,0.08035,0.01551,0.00404,3.18518,14.7569,4.30709,0.00116949,0.00116949,0.00116949
11,107.377,1.32165,1.08634,1.50481,0.02736,0.20437,0.01679,0.00375,3.0539,43.0994,4.36791,0.00128713,0.00128713,0.00128713
12,113.747,1.25527,1.01148,1.4706,0.05788,0.17729,0.03023,0.01065,2.51059,50.3861,5.32386,0.00140454,0.00140454,0.00140454
