epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8986,2.16636,5.47102,1.88584,0.67172,0.26082,0.23987,0.11725,1.86309,4.1764,1.67568,0.00010003,0.00010003,0.00010003
2,35.4599,1.67183,2.76976,1.52805,0.36791,0.45259,0.40009,0.2167,1.5138,7.10654,1.30782,0.000213643,0.000213643,0.000213643
3,43.8458,1.46576,1.65099,1.31786,0.50824,0.6302,0.417,0.23579,1.38336,inf,1.32687,0.000326501,0.000326501,0.000326501
4,52.6405,1.43577,1.27693,1.27672,0.49617,0.48734,0.44677,0.22141,1.57245,9.06483,1.51986,0.000438604,0.000438604,0.000438604
5,60.0896,1.38776,1.11508,1.27043,0.44874,0.53361,0.47069,0.23396,1.61787,2.85079,1.5227,0.000549954,0.000549954,0.000549954
6,68.4272,1.458,1.0696,1.31326,0.01483,0.09976,0.00745,0.00327,2.49929,inf,2.811,0.000660548,0.000660548,0.000660548
7,76.6469,1.49863,1.09918,1.33843,0.3247,0.27826,0.18164,0.08245,2.76314,6.04037,2.83026,0.000770388,0.000770388,0.000770388
8,84.2783,1.4778,1.10568,1.30689,0.46095,0.09473,0.05564,0.02576,2.39493,inf,2.31762,0.000879474,0.000879474,0.000879474
9,92.8228,1.47725,1.06807,1.34131,0.48635,0.30684,0.06386,0.02242,2.68867,inf,3.38072,0.000987805,0.000987805,0.000987805
10,100.193,1.43859,1.03082,1.30573,0.36112,0.36679,0.3132,0.13847,2.11584,7.25829,1.98161,0.00109538,0.00109538,0.00109538
11,107.726,1.50249,1.07517,1.36967,0.24413,0.2868,0.13005,0.05715,2.0838,inf,3.12868,0.0012022,0.0012022,0.0012022
12,115.324,1.4862,1.03669,1.32072,0.24188,0.28238,0.12719,0.0573,2.27335,inf,2.52544,0.00130827,0.00130827,0.00130827
13,122.927,1.5025,1.0586,1.36135,0.04325,0.06518,0.00106,0.00037,3.87291,inf,10.543,0.00137241,0.00137241,0.00137241
14,130.274,1.50708,0.99371,1.35701,0.33942,0.17986,0.05294,0.02306,2.87466,44.5367,3.38926,0.0013677,0.0013677,0.0013677
15,138.403,1.49374,0.98741,1.38058,0.00228,0.04393,0.00091,0.00032,3.50606,inf,4.03381,0.00136298,0.00136298,0.00136298
16,145.965,1.44313,1.00114,1.33399,0.46211,0.44344,0.26156,0.12229,1.87102,13.1845,1.9928,0.00135826,0.00135826,0.00135826
17,153.231,1.45884,0.96766,1.31917,0.4227,0.06282,0.02956,0.0111,2.79235,6.01747,2.48296,0.00135355,0.00135355,0.00135355
18,160.527,1.48329,1.00543,1.34893,0.18127,0.17593,0.06612,0.02757,2.62462,4.92187,2.47993,0.00134883,0.00134883,0.00134883
19,167.658,1.46488,0.9843,1.3119,0.23395,0.19043,0.12213,0.05426,1.98179,3.78354,1.74686,0.00134412,0.00134412,0.00134412
20,174.85,1.42913,0.94924,1.29763,0.46232,0.35239,0.22713,0.08843,2.34609,9.6575,2.17854,0.0013394,0.0013394,0.0013394
21,182.096,1.38806,0.92484,1.29887,0.41324,0.3282,0.30169,0.13201,1.81056,2.97638,1.66825,0.00133469,0.00133469,0.00133469
22,189.692,1.4176,0.90876,1.29319,0.53044,0.54099,0.53623,0.27382,1.48564,3.96867,1.38929,0.00132997,0.00132997,0.00132997
23,197.17,1.42215,0.9622,1.3327,0.74062,0.76074,0.81134,0.41715,1.45352,1.57648,1.34585,0.00132525,0.00132525,0.00132525
24,204.605,1.39831,0.90663,1.2881,0.67912,0.65129,0.72489,0.38037,1.48344,1.48692,1.352,0.00132054,0.00132054,0.00132054
25,211.872,1.39836,0.89147,1.28246,0.72458,0.55692,0.56956,0.29842,1.61908,1.20072,1.515,0.00131582,0.00131582,0.00131582
26,219.034,1.39021,0.89894,1.27623,0.51109,0.74734,0.64146,0.32957,1.45651,2.19003,1.3625,0.00131111,0.00131111,0.00131111
27,226.279,1.3725,0.89159,1.27905,0.77226,0.59268,0.71931,0.37645,1.42919,2.22725,1.30827,0.00130639,0.00130639,0.00130639
28,233.543,1.36678,0.86279,1.2679,0.66612,0.61498,0.7253,0.39546,1.37989,2.09493,1.27101,0.00130168,0.00130168,0.00130168
29,240.755,1.36544,0.85628,1.29052,0.67234,0.83815,0.79257,0.41482,1.41781,1.41809,1.32014,0.00129696,0.00129696,0.00129696
30,248.013,1.36125,0.83712,1.28514,0.8159,0.84612,0.89065,0.46628,1.38115,1.20269,1.24952,0.00129224,0.00129224,0.00129224
31,255.392,1.38159,0.87271,1.29365,0.83297,0.85718,0.89982,0.47707,1.39453,0.86657,1.25995,0.00128753,0.00128753,0.00128753
